response_id,responded_at,email,first_name,last_name,nickname,date_of_birth,university,graduation_class,hometown,majors,scheduling,interests,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,website_experience,meetup_comfort
0,2015-08-30 21:50:22 -0400,breitenberg.lurline@hotmail.com,Lurline,Breitenberg,,1997,Southern Maine College,Sophomore,"Lake Blaze, Togo",Information Systems,,Et soluta doloribus ut quas. Ad impedit aut voluptatum ex hic. Porro explicabo laborum molestiae dolorum. Numquam labore eligendi autem in quis voluptatem.,1,0,0,0,0,1,Windows OS,0,0,1,1,0,Sounds scary
1,2015-09-05 03:44:11 -0400,rebecca.o.keefe@gmail.com,Rebecca,O'Keefe,,2000,Western Stamm,Sophomore,"East Cielo, Haiti",Marketing,,Sequi expedita similique. Repudiandae similique autem. Voluptate repellendus id cum iste. Autem temporibus consequatur voluptatibus voluptas tempore nobis.,1,1,0,0,1,1,Windows OS,1,1,1,0,1,Sounds fine
2,2015-09-01 16:52:34 -0400,stark_leone@gmail.com,Leone,Stark,Namfix,1999,Northern Blanda,Junior,"North Jalen, Yemen",Marketing,,Omnis qui necessitatibus velit sit quis. Sed ut voluptas tempora magni alias. Vero assumenda voluptates. Quis suscipit nesciunt reiciendis. Expedita earum aut quis magnam maxime dolore omnis.,0,1,1,0,1,1,Windows OS,1,1,0,1,1,Sounds scary
3,2015-09-04 20:02:33 -0400,ondricka_veda@yahoo.com,Veda,Ondricka,Flowdesk,1999,Eastern Will,Sophomore,"Port Aditya, Oman",Engineering,,Ea commodi fugit quia. Ea eos iste voluptatem. Explicabo ut ea perspiciatis adipisci pariatur odit. Dolore similique aut explicabo officiis. Dolores molestiae ipsa.,1,0,1,1,1,1,Mac OS,1,1,1,0,1,Sounds scary
4,2015-09-03 03:30:19 -0400,sabrina_thiel@hotmail.com,Sabrina,Thiel,,1997,Southern Connecticut College,Senior,"Schummmouth, Wallis and Futuna",Finance,,Corporis ducimus eaque necessitatibus unde et hic maxime. Ut quia enim quas ut. Blanditiis facilis ea qui et nam. Harum cupiditate nostrum facilis consequatur omnis non.,1,0,1,1,0,1,Mac OS,1,1,0,0,1,Sounds scary
5,2015-08-30 08:50:01 -0400,schaefer_jaime@hotmail.com,Jaime,Schaefer,,1997,Eastern Stamm,Sophomore,"Lake Ethylburgh, Togo",Engineering,,Similique autem nemo officiis. Quis eum ad distinctio blanditiis quia ipsam. Qui consequatur totam laboriosam saepe.,1,1,0,0,0,1,Windows OS,1,1,0,0,1,Sounds fine
6,2015-09-04 21:40:24 -0400,hegmann_daphne@hotmail.com,Daphne,Hegmann,,1997,Smitham Institute,Senior,"West Dallasmouth, Thailand",Finance,,Deserunt impedit doloribus voluptate numquam nobis quo. Ut voluptas ullam est ipsa ratione excepturi assumenda. Incidunt molestiae non sequi consequatur sed voluptas corporis.,1,1,1,0,0,1,Mac OS,1,1,1,0,1,Sounds fine
7,2015-09-07 23:06:32 -0400,heber.walsh@hotmail.com,Heber,Walsh,,2000,Southern Bernier University,Sophomore,"East Dayana, New Zealand",Engineering,,Et quo iste vero vel perferendis. Incidunt aspernatur temporibus quasi corrupti debitis. Quasi laborum qui nihil. Recusandae ut sapiente praesentium. Quia nisi expedita est dolores reiciendis.,1,0,1,0,0,1,Windows OS,1,1,1,1,1,Sounds fine
8,2015-09-06 11:30:21 -0400,gayle.hermiston@gmail.com,Gayle,Hermiston,Fixflex,2000,East New Jersey Academy,Sophomore,"Lake Napoleon, Faroe Islands",Information Systems,,Reprehenderit dolor blanditiis voluptas a eligendi doloribus provident. Sed laboriosam fuga. Tempora porro doloremque perspiciatis est beatae sint. Voluptatem iusto magni qui inventore ea. Itaque ipsam porro laudantium eum quia iste.,1,0,0,0,0,1,Mac OS,1,1,0,0,1,Sounds scary
9,2015-09-04 08:09:49 -0400,moore.marta@gmail.com,Marta,Moore,,1999,O'Connell Institute,Junior,"East Gregoria, Angola",Information Systems,,Aspernatur mollitia beatae. Sed qui pariatur quisquam porro voluptate eius molestiae. Recusandae doloremque laboriosam.,1,1,0,0,0,1,Mac OS,1,1,1,1,0,Sounds scary
10,2015-09-01 18:52:58 -0400,deshaun_nader@hotmail.com,Deshaun,Nader,,2000,West Jacobi,Senior,"Port Eddfort, United States Minor Outlying Islands",Marketing,,Neque sed enim voluptates cum. Repellat neque praesentium rerum mollitia magnam blanditiis. Sunt itaque blanditiis soluta recusandae dolorem. Voluptates voluptate id.,1,0,1,0,0,1,Mac OS,1,1,1,1,0,Sounds scary
11,2015-09-02 02:48:56 -0400,nolan_velma@hotmail.com,Velma,Nolan,Bigtax,1998,West Friesen University,Senior,"Lake Josh, Kiribati",Other,,Dolor velit suscipit odit consequatur. Corporis reprehenderit cum. Voluptatem sed natus veritatis.,1,1,0,1,0,1,Windows OS,1,0,1,0,1,Sounds scary
12,2015-08-31 05:34:36 -0400,myah_mitchell@yahoo.com,Myah,Mitchell,Job,1997,The Smitham,Sophomore,"Bergeshire, Liberia",Marketing,,Enim veritatis quis consequatur molestiae. Inventore dolorum quas. Quam distinctio perspiciatis iure dignissimos.,0,1,1,0,0,1,Mac OS,1,1,0,0,1,Sounds scary
13,2015-09-02 01:40:06 -0400,nola.beer@gmail.com,Nola,Beer,Namfix,1997,Western Frami,Junior,"West Cassandra, Falkland Islands (Malvinas)",Information Systems,,Itaque aut debitis fugiat ipsa sed eligendi. Debitis autem repellendus quo. Sapiente magni optio sit quis. Ab aut ex labore architecto natus occaecati.,0,0,0,0,0,1,Mac OS,1,0,1,0,1,Sounds scary
14,2015-08-31 15:27:43 -0400,mueller_shyann@gmail.com,Shyann,Mueller,,1998,North Missouri Academy,Freshman,"Kerlukebury, Vanuatu",Information Systems,conflict_after,Architecto et cupiditate rerum voluptates qui quia eos. Vel est saepe et doloremque. Quia possimus molestiae veritatis ducimus. Labore doloribus voluptatibus asperiores ut optio.,0,1,0,0,0,1,Windows OS,1,1,1,1,1,Sounds scary
15,2015-08-31 20:18:08 -0400,bernice.vandervort@gmail.com,Bernice,Vandervort,Vagram,2000,Southern West Virginia Institute,Senior,"Sporerborough, Saudi Arabia",Information Systems,,Explicabo praesentium molestias enim minima ipsa rerum quasi. Cupiditate animi optio nihil quia nulla. Omnis est rem autem tempora. Iure consectetur distinctio voluptatem et ab est ut. Ipsa vel corporis expedita.,0,0,1,0,1,1,Windows OS,1,1,1,1,1,Sounds fine
16,2015-09-02 16:28:36 -0400,wilderman.kiley@gmail.com,Kiley,Wilderman,,1997,West Grant College,Senior,"Savannahborough, Poland",Engineering,,Et reprehenderit aperiam incidunt fugiat. Laboriosam minima aperiam numquam voluptas sapiente enim quia. Dolorem nostrum omnis ipsa. Fuga in vitae.,1,1,0,0,0,1,Mac OS,1,1,0,0,1,Sounds fine
17,2015-09-04 22:57:42 -0400,ezekiel.gibson@hotmail.com,Ezekiel,Gibson,Lotstring,1997,The Bruen,Sophomore,"Lemkemouth, Saint Lucia",Finance,,Et exercitationem sunt. Rerum sed minima ut. Recusandae molestiae dicta rerum.,0,1,1,0,1,1,Windows OS,0,0,1,1,1,Sounds scary
18,2015-09-03 08:18:32 -0400,wiegand_estrella@yahoo.com,Estrella,Wiegand,,2000,South Adams,Alumni,"Reingerborough, Uruguay",Finance,,Quisquam quam aut iste. Aut ipsa dolore optio itaque illo non. Consequuntur voluptatem veniam blanditiis eum cumque.,0,1,0,0,0,1,Mac OS,1,1,0,1,1,Sounds fine
19,2015-08-30 09:55:40 -0400,shanny_bartell@yahoo.com,Shanny,Bartell,,1998,Ruecker Academy,Freshman,"Wisokyshire, Bahrain",Finance,,Culpa facilis fugit provident quia nesciunt voluptas nobis. Qui similique quos. Sit minima et odit beatae. Aut maxime delectus excepturi cum. Tempore laudantium voluptatum laboriosam.,0,0,0,0,0,1,Windows OS,0,1,1,0,1,Sounds fine
20,2015-09-07 04:18:55 -0400,lang.carolyne@gmail.com,Carolyne,Lang,,2000,Western Arkansas Academy,Junior,"North Kaelyn, Mali",Engineering,,Ab est esse. Rerum ex possimus amet est aut. Assumenda officia dolorum accusamus. Enim et culpa exercitationem rem dicta eaque quia.,1,1,0,0,0,1,Windows OS,1,1,0,1,0,Sounds scary
21,2015-09-01 09:18:28 -0400,fahey.dahlia@gmail.com,Dahlia,Fahey,,2000,West Stokes,Graduate,"Lake Van, Congo",Marketing,,Dolore quo quis voluptate quaerat et. Veritatis doloremque placeat. Sequi ut qui occaecati et consequatur sed. Quis repellat eveniet possimus sequi iusto.,1,0,1,0,0,1,Mac OS,1,1,1,1,0,Sounds fine
